cast_member_list,vote_average,movie_count
Amila Terzimehic,6.0,1
Amir Farrokh Hashemian,7.8,1
Amitabh Bachchan,5.025,4
Aml Ameen,7.0,1
Amos Oz,5.1,1
Amr Waked,6.3,1
Amrish Puri,7.1,1
Amy Acker,5.5,1
Amy Adams,6.514285714285715,21
Amy Aquino,7.2,1
Amy Badberg,7.1,1
Amy Braverman,6.6,1
Amy Brenneman,5.75,2
Amy Carson,6.9,1
Amy Ferguson,5.4,1
Amy Ganser,5.5,1
Amy Hargreaves,6.9,1
Amy Hathaway,7.0,1
Amy Irving,6.14,5
Amy Lalonde,5.4,1
Amy Madigan,5.65,2
Amy Poehler,6.057142857142857,7
Amy Robinson,7.2,1
Amy Ryan,6.616666666666667,6
Amy Schumer,5.9,1
Amy Sedaris,6.45,2
Amy Smart,6.220000000000001,10
Amy Steel,6.0,1
Amy Stewart,5.9,1
Ana Claudia Talancón,5.7,3
Ana Coto,4.9,1
Ana Dolinar,6.0,1
Ana Gasteyer,6.9,1
Ana López Mercado,7.3,1
Ana Maria Guran,0.0,1
Ana Vatamanu,0.0,1
Ana Wagener,7.6,1
Ana de la Reguera,5.6,1
Analeigh Tipton,6.0,2
Anamaria Marinca,7.3,1
Anand Upadhyaya,6.9,1
Anas Wellman,6.2,1
Anatoli Davydov,6.0,1
Anatoliy Solonitsyn,7.7,1
Anders Holm,7.1,1
Andie MacDowell,5.67,10
Andre Braugher,6.5200000000000005,5
Andrea Baeza,5.7,1
Andrea Brooks,4.2,1
Andrea Eckert,7.7,1
Andrea Edmondson,5.3,1
Andrea Lowe,4.5,1
Andrea Martin,5.733333333333333,3
Andrea Riseborough,6.266666666666667,3
Andrea Vergara,6.2,1
Andree Maranda,6.3,1
Andree Moss,4.8,1
Andrei Finti,6.6,1
Andrew Airlie,5.0,1
Andrew Bujalski,6.1,1
Andrew Caldwell,4.8,1
Andrew Daly,5.8,1
Andrew Dice Clay,6.2,1
Andrew Divoff,6.0,1
Andrew Garfield,6.6499999999999995,6
Andrew Hampton,5.3,1
Andrew Henderson,6.0,1
Andrew J. West,5.3,1
Andrew Jacobs,5.2,1
Andrew Keegan,5.8,1
Andrew Lincoln,6.9,1
Andrew McCarthy,5.85,2
Andrew Miller,6.35,2
Andrew Newberg,7.2,1
Andrew Parks,6.5,1
Andrew Robinson,6.9,1
Andrew Scott,5.6,1
Andrew Sensenig,4.4,1
Andrew Shim,7.35,2
Andrew Wilson,6.8,1
André Benjamin,5.733333333333333,3
André Dussollier,6.566666666666666,3
André Holland,7.4,1
André Ramiro,7.8,1
André Sogliuzzo,8.0,1
André Wilms,6.8,1
André the Giant,7.6,1
Andy Anderson,6.0,1
Andy Buckley,5.45,2
Andy Cohn,6.9,1
Andy Comeau,5.4,1
Andy Davoli,5.9,1
Andy Dick,4.8,5
Andy García,6.364285714285714,14
Andy Griffith,6.7,1
Andy Hirsch,6.3,1
Andy Kaufman,3.8,1
Andy Lau,6.475,4
Andy Merrill,6.5,1
Andy Milonakis,3.8,1
Andy Nyman,6.9,1
Andy Richter,4.95,2
Andy Samberg,6.142857142857143,7
Andy Serkis,6.411111111111111,9
Aneurin Barnard,5.1,1
Angel David,5.4,1
Angela Bassett,6.025,16
Angela Bettis,5.6,2
Angela Featherstone,5.2,2
Angela Jones,0.0,1
Angela Kinsey,4.6,1
Angela Lansbury,6.550000000000001,2
Angelica Lee,5.8,1
Angeliki Papoulia,6.9,1
Angelina Idnani,6.0,2
Angelina Jolie,6.236000000000001,25
Angelina Peláez,7.0,1
Angelique Pretorius,5.2,1
Angell Conwell,5.3,1
Angelo Barra Moreira,5.8,1
Angelo Josue Lozano Corzo,6.2,1
Angelo Rossitto,5.9,1
Angie Dickinson,6.949999999999999,2
Angie Harmon,5.45,2
Angourie Rice,5.2,1
Angus Macfadyen,6.35,4
Angus Sampson,6.2,1
Angus Scrimm,6.3,1
Angus T. Jones,6.5,1
Angélica Aragón,6.233333333333333,3
Ania Sowinski,7.2,1
Anika Noni Rose,6.85,2
Anil Kapoor,5.933333333333334,3
Anil Raman,0.0,1
Anita Briem,5.15,2
Anita Laurenzi,7.3,1
Anita Mui,6.85,2
Anita Page,5.0,1
Anita Pallenberg,5.7,1
Anita de Moulin,4.3,1
Anjelica Huston,6.58,10
Anjul Nigam,7.4,1
Anmol,5.0,1
Ann Altieri,7.5,1
Ann Dowd,5.766666666666667,3
Ann Lynn,6.1,1
Ann Magnuson,6.0,1
Ann Miller,7.6,1
Ann Reinking,7.3,1
Anna Ardova,5.1,1
Anna Bolshova,6.3,1
Anna Camp,7.3,1
Anna Chlumsky,6.2,2
Anna Claire Sneed,4.1,1
Anna Deavere Smith,6.5,1
Anna Faris,5.819999999999999,15
Anna Friel,6.1,5
Anna Gurji,2.0,1
Anna Hoelck,5.4,1
Anna Hutchison,6.5,1
Anna Karina,7.6,1
Anna Katarina,5.9,1
Anna Keaveney,6.8,1
Anna Kendrick,6.416666666666667,12
Anna Lee,6.8,1
Anna Loos,6.1,1
Anna Maria Horsford,6.433333333333334,3
Anna Massey,7.1,1
Anna Nakagawa,7.4,1
Anna Paquin,6.3625,8
Anna Popplewell,6.5,2
Anna Ross,5.2,1
